ID;NOTA1;NOTA2;NOTA3;NOTA4;MEDIA;SITUACAO;CONCEITO
NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;TEXTO;TEXTO
1;2;1;8;1;3;RE;INS
2;3;10;6;8;6;AP;REG
3;0;8;5;2;3;RE;INS
4;9;4;2;3;4;RE;INS
5;10;4;0;4;4;RE;INS
6;3;10;2;4;4;RE;INS
7;1;5;2;10;4;RE;INS
8;8;0;4;6;4;RE;INS
9;9;3;3;3;4;RE;INS
10;2;2;2;1;1;RE;INS
11;7;1;0;3;2;RE;INS
12;7;0;2;1;2;RE;INS
13;7;7;8;7;7;AP;BOM
14;9;4;0;4;4;RE;INS
15;4;6;10;9;7;AP;BOM
16;7;1;3;8;4;RE;INS
17;7;9;4;3;5;AP;REG
18;5;5;1;8;4;RE;INS
19;8;6;2;9;6;AP;REG
20;3;1;10;5;4;RE;INS
21;8;6;8;10;8;AP;BOM
22;1;2;3;5;2;RE;INS
23;7;2;7;7;5;AP;REG
24;10;5;4;3;5;AP;REG
25;6;1;10;7;6;AP;REG
26;6;5;7;4;5;AP;REG
27;4;0;10;4;4;RE;INS
28;8;8;9;2;6;AP;REG
29;5;10;8;1;6;AP;REG
30;10;2;3;10;6;AP;REG
31;4;8;0;8;5;AP;REG
32;10;7;7;5;7;AP;BOM
33;10;10;10;5;8;AP;BOM
34;6;1;10;9;6;AP;REG
35;9;6;3;9;6;AP;REG
36;2;1;6;7;4;RE;INS
37;10;5;7;3;6;AP;REG
38;0;7;1;2;2;RE;INS
39;8;1;1;2;3;RE;INS
40;6;5;7;8;6;AP;REG
41;10;6;2;8;6;AP;REG
42;6;10;2;4;5;AP;REG
43;5;8;6;5;6;AP;REG
44;5;4;4;3;4;RE;INS
45;6;2;6;3;4;RE;INS
46;5;1;8;4;4;RE;INS
47;7;10;6;1;6;AP;REG
48;10;5;1;1;4;RE;INS
49;9;4;4;2;4;RE;INS
50;9;6;5;1;5;AP;REG
51;8;6;9;5;7;AP;BOM
52;1;4;7;9;5;AP;REG
53;8;5;1;6;5;AP;REG
54;0;9;6;5;5;AP;REG
55;1;5;2;6;3;RE;INS
56;4;1;2;9;4;RE;INS
57;7;5;10;2;6;AP;REG
58;2;3;10;6;5;AP;REG
59;6;6;9;3;6;AP;REG
60;3;1;3;8;3;RE;INS
61;10;10;0;6;6;AP;REG
62;5;5;4;9;5;AP;REG
63;7;4;0;7;4;RE;INS
64;3;10;9;8;7;AP;BOM
65;5;2;4;4;3;RE;INS
66;4;6;2;6;4;RE;INS
67;9;3;4;2;4;RE;INS
68;7;6;4;0;4;RE;INS
69;5;7;0;8;5;AP;REG
70;10;2;0;0;3;RE;INS
71;4;7;5;7;5;AP;REG
72;0;2;1;6;2;RE;INS
73;6;8;7;7;7;AP;BOM
74;6;6;3;3;4;RE;INS
75;0;6;2;10;4;RE;INS
76;0;4;2;8;3;RE;INS
77;5;2;5;3;3;RE;INS
78;9;9;0;7;6;AP;REG
79;8;8;8;3;6;AP;REG
80;10;8;0;8;6;AP;REG
81;10;5;7;1;5;AP;REG
82;5;8;3;3;4;RE;INS
83;2;8;2;0;3;RE;INS
84;7;8;7;8;7;AP;BOM
85;7;4;10;6;6;AP;REG
86;6;1;9;4;5;AP;REG
87;6;5;2;1;3;RE;INS
88;7;2;7;10;6;AP;REG
89;1;1;1;4;1;RE;INS
90;6;1;9;5;5;AP;REG
91;6;4;3;6;4;RE;INS
92;4;6;8;9;6;AP;REG
93;4;1;10;2;4;RE;INS
94;2;0;9;10;5;AP;REG
95;9;0;9;1;4;RE;INS
96;9;3;10;4;6;AP;REG
97;4;3;10;0;4;RE;INS
98;4;5;1;6;4;RE;INS
99;6;6;5;10;6;AP;REG
100;7;7;4;1;4;RE;INS
101;4;7;9;6;6;AP;REG
102;1;8;4;4;4;RE;INS
103;2;0;9;6;4;RE;INS
104;10;0;3;6;4;RE;INS
105;1;6;5;9;5;AP;REG
106;6;7;10;5;7;AP;BOM
107;0;0;4;2;1;RE;INS
108;10;0;5;8;5;AP;REG
109;6;0;6;7;4;RE;INS
110;5;6;0;3;3;RE;INS
111;10;7;4;9;7;AP;BOM
112;4;2;3;6;3;RE;INS
113;4;4;4;2;3;RE;INS
114;5;7;4;2;4;RE;INS
115;7;6;3;6;5;AP;REG
116;8;0;4;3;3;RE;INS
117;2;3;10;1;4;RE;INS
118;8;2;9;1;5;AP;REG
119;5;3;3;6;4;RE;INS
120;2;8;9;9;7;AP;BOM
121;8;6;1;7;5;AP;REG
122;4;6;6;3;4;RE;INS
123;7;9;3;2;5;AP;REG
124;4;4;5;0;3;RE;INS
125;3;8;10;2;5;AP;REG
126;9;9;0;5;5;AP;REG
127;3;5;1;6;3;RE;INS
128;0;0;8;8;4;RE;INS
129;9;4;9;9;7;AP;BOM
130;3;1;4;1;2;RE;INS
131;2;1;2;2;1;RE;INS
132;2;5;3;9;4;RE;INS
133;6;4;10;2;5;AP;REG
134;8;6;6;4;6;AP;REG
135;4;1;6;1;3;RE;INS
136;5;7;3;5;5;AP;REG
137;2;5;2;10;4;RE;INS
138;9;3;4;0;4;RE;INS
139;4;1;6;8;4;RE;INS
140;1;5;2;9;4;RE;INS
141;7;5;9;2;5;AP;REG
142;7;0;0;6;3;RE;INS
143;6;1;7;0;3;RE;INS
144;4;9;7;3;5;AP;REG
145;2;10;2;5;4;RE;INS
146;10;6;0;10;6;AP;REG
147;9;9;4;7;7;AP;BOM
148;6;3;9;7;6;AP;REG
149;6;10;4;10;7;AP;BOM
150;2;4;3;8;4;RE;INS
151;4;2;0;10;4;RE;INS
152;8;2;7;7;6;AP;REG
153;6;6;7;1;5;AP;REG
154;6;2;0;8;4;RE;INS
155;0;7;8;7;5;AP;REG
156;3;9;1;6;4;RE;INS
157;9;7;9;10;8;AP;BOM
158;9;7;10;0;6;AP;REG
159;8;9;0;10;6;AP;REG
160;9;1;5;9;6;AP;REG
161;1;4;7;9;5;AP;REG
162;8;4;1;0;3;RE;INS
163;0;9;9;2;5;AP;REG
164;2;2;7;8;4;RE;INS
165;0;2;8;10;5;AP;REG
166;1;6;0;4;2;RE;INS
167;2;6;2;8;4;RE;INS
168;10;8;4;5;6;AP;REG
169;6;2;6;6;5;AP;REG
170;7;8;7;5;6;AP;REG
171;0;8;9;0;4;RE;INS
172;2;7;9;10;7;AP;BOM
173;5;0;2;9;4;RE;INS
174;8;10;4;3;6;AP;REG
175;3;5;8;9;6;AP;REG
176;5;6;3;8;5;AP;REG
177;6;2;8;8;6;AP;REG
178;4;2;5;1;3;RE;INS
179;9;3;8;9;7;AP;BOM
180;0;10;8;6;6;AP;REG
181;10;1;8;9;7;AP;BOM
182;6;6;7;2;5;AP;REG
183;6;2;3;0;2;RE;INS
184;0;9;0;8;4;RE;INS
185;4;4;6;5;4;RE;INS
186;3;8;6;6;5;AP;REG
187;0;2;6;9;4;RE;INS
188;9;2;3;5;4;RE;INS
189;0;5;6;4;3;RE;INS
190;7;8;2;3;5;AP;REG
191;3;5;9;1;4;RE;INS
192;1;3;1;2;1;RE;INS
193;10;9;5;8;8;AP;BOM
194;1;7;7;7;5;AP;REG
195;3;1;9;0;3;RE;INS
196;3;6;6;9;6;AP;REG
197;6;9;8;0;5;AP;REG
198;1;9;4;2;4;RE;INS
199;9;1;6;9;6;AP;REG
200;2;6;3;4;3;RE;INS
201;3;5;1;5;3;RE;INS
202;2;5;2;6;3;RE;INS
203;5;8;1;8;5;AP;REG
204;9;6;9;2;6;AP;REG
205;8;1;4;4;4;RE;INS
206;4;7;2;1;3;RE;INS
207;8;3;10;7;7;AP;BOM
208;6;7;8;3;6;AP;REG
209;3;2;4;3;3;RE;INS
210;1;6;2;7;4;RE;INS
211;1;6;4;9;5;AP;REG
212;9;4;6;0;4;RE;INS
213;7;8;3;4;5;AP;REG
214;0;3;6;7;4;RE;INS
215;0;5;6;4;3;RE;INS
216;10;0;10;3;5;AP;REG
217;6;7;9;0;5;AP;REG
218;1;3;9;1;3;RE;INS
219;6;4;3;2;3;RE;INS
220;6;9;9;4;7;AP;BOM
221;6;3;10;9;7;AP;BOM
222;4;2;7;0;3;RE;INS
223;1;3;7;9;5;AP;REG
224;0;3;10;0;3;RE;INS
225;4;5;2;2;3;RE;INS
226;8;0;10;6;6;AP;REG
227;6;9;8;1;6;AP;REG
228;0;5;2;1;2;RE;INS
229;0;9;8;0;4;RE;INS
230;3;3;4;3;3;RE;INS
231;8;3;1;10;5;AP;REG
232;1;9;3;9;5;AP;REG
233;1;4;3;1;2;RE;INS
234;6;6;3;4;4;RE;INS
235;5;6;0;3;3;RE;INS
236;3;8;6;7;6;AP;REG
237;5;2;1;9;4;RE;INS
238;7;7;4;5;5;AP;REG
239;2;10;3;7;5;AP;REG
240;9;5;7;6;6;AP;REG
241;3;7;6;1;4;RE;INS
242;0;0;9;4;3;RE;INS
243;5;10;10;2;6;AP;REG
244;0;2;1;0;0;RE;INS
245;0;6;0;8;3;RE;INS
246;3;2;5;1;2;RE;INS
247;6;0;8;1;3;RE;INS
248;8;5;7;5;6;AP;REG
249;3;7;5;8;5;AP;REG
250;7;10;4;8;7;AP;BOM
251;0;9;7;6;5;AP;REG
252;0;1;7;7;3;RE;INS
253;10;4;7;10;7;AP;BOM
254;2;1;7;1;2;RE;INS
255;8;4;2;1;3;RE;INS
256;7;6;0;8;5;AP;REG
257;3;10;1;0;3;RE;INS
258;8;8;5;8;7;AP;BOM
259;9;2;5;8;6;AP;REG
260;0;9;7;3;4;RE;INS
261;7;10;7;3;6;AP;REG
262;1;6;0;3;2;RE;INS
263;2;9;9;5;6;AP;REG
264;8;1;1;5;3;RE;INS
265;4;5;9;7;6;AP;REG
266;5;7;7;8;6;AP;REG
267;6;5;8;9;7;AP;BOM
268;1;2;9;10;5;AP;REG
269;1;0;7;9;4;RE;INS
270;8;10;2;7;6;AP;REG
271;2;4;8;3;4;RE;INS
272;10;3;0;3;4;RE;INS
273;5;10;7;7;7;AP;BOM
274;0;9;9;2;5;AP;REG
275;10;7;7;4;7;AP;BOM
276;2;7;0;1;2;RE;INS
277;2;4;7;9;5;AP;REG
278;4;5;8;7;6;AP;REG
279;10;7;3;10;7;AP;BOM
280;5;9;7;0;5;AP;REG
281;9;4;2;1;4;RE;INS
282;7;5;8;9;7;AP;BOM
283;8;2;1;8;4;RE;INS
284;9;7;8;6;7;AP;BOM
285;2;1;9;9;5;AP;REG
286;2;2;4;3;2;RE;INS
287;9;5;10;7;7;AP;BOM
288;1;0;1;0;0;RE;INS
289;4;8;7;9;7;AP;BOM
290;6;4;8;10;7;AP;BOM
291;9;3;9;5;6;AP;REG
292;3;1;8;6;4;RE;INS
293;0;2;5;1;2;RE;INS
294;10;2;3;10;6;AP;REG
295;9;6;7;10;8;AP;BOM
296;1;0;10;2;3;RE;INS
297;0;7;1;7;3;RE;INS
298;6;1;6;3;4;RE;INS
299;4;9;3;1;4;RE;INS
300;4;8;2;10;6;AP;REG
301;5;1;10;0;4;RE;INS
302;7;4;6;6;5;AP;REG
303;6;9;3;2;5;AP;REG
304;4;5;5;7;5;AP;REG
305;3;4;0;4;2;RE;INS
306;2;1;7;10;5;AP;REG
307;9;6;1;1;4;RE;INS
308;3;7;5;7;5;AP;REG
309;10;9;7;2;7;AP;BOM
310;10;3;5;4;5;AP;REG
311;6;9;4;7;6;AP;REG
312;8;10;8;9;8;AP;BOM
313;4;5;7;5;5;AP;REG
314;2;10;7;0;4;RE;INS
315;3;2;5;2;3;RE;INS
316;2;3;10;4;4;RE;INS
317;3;4;3;1;2;RE;INS
318;0;9;4;6;4;RE;INS
319;7;6;3;4;5;AP;REG
320;3;0;10;2;3;RE;INS
321;10;8;6;7;7;AP;BOM
322;3;3;6;6;4;RE;INS
323;5;8;6;4;5;AP;REG
324;8;4;7;4;5;AP;REG
325;9;2;6;2;4;RE;INS
326;10;7;1;5;5;AP;REG
327;3;6;5;5;4;RE;INS
328;10;5;6;10;7;AP;BOM
329;5;4;2;0;2;RE;INS
330;8;8;5;3;6;AP;REG
331;2;3;3;0;2;RE;INS
332;0;10;3;6;4;RE;INS
333;3;7;4;4;4;RE;INS
334;7;0;0;10;4;RE;INS
335;5;2;10;10;6;AP;REG
336;2;0;3;1;1;RE;INS
337;3;1;0;4;2;RE;INS
338;3;4;9;8;6;AP;REG
339;8;5;6;3;5;AP;REG
340;3;10;3;10;6;AP;REG
341;2;0;2;2;1;RE;INS
342;0;9;9;0;4;RE;INS
343;4;8;6;3;5;AP;REG
344;0;0;9;4;3;RE;INS
345;0;3;6;5;3;RE;INS
346;7;2;7;4;5;AP;REG
347;10;6;2;3;5;AP;REG
348;10;3;7;6;6;AP;REG
349;4;10;2;0;4;RE;INS
350;3;0;3;4;2;RE;INS
351;7;0;5;8;5;AP;REG
352;3;8;5;4;5;AP;REG
353;2;2;2;7;3;RE;INS
354;0;10;6;7;5;AP;REG
355;10;1;2;3;4;RE;INS
